Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,ETCS 108 M02,"Computer, Internet and Society",Billis,05/14/2025,5:30:00 PM,8:20:00 PM,Zoom,New York City
Spring 2025,ETCS 108 W01,"Computer, Internet and Society",Akhtar,05/12/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 316",Long Island
Spring 2025,ETCS 300 W01,Found for Success CoECS Co-op,Goldsmith,05/14/2025,10:30:00 AM,12:30:00 PM,Zoom,Long Island
Spring 2025,ETCS 301 W01,Engr & Comp Sciences Co-op,Goldsmith,05/16/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,ETEC 110 M01,Electrical Technology I,Awal,05/16/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 409",New York City
Spring 2025,ETEC 120 M01,Electrical Technology II,Golubev,05/14/2025,10:30:00 AM,12:30:00 PM,"16 W. 61st St., Rm. 624",New York City
Spring 2025,ETEC 120 W01,Electrical Technology II,Pavlidis,05/12/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. B14B",Long Island
Spring 2025,ETEC 131 M01,Electronic Tech I,Golovin,05/15/2025,10:30:00 AM,12:30:00 PM,"26 W. 61st St., Rm. 313",New York City
Spring 2025,ETEC 131 W01,Electronic Tech I,Salayka,05/13/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. B14B",Long Island
Spring 2025,ETEC 231 M01,Electronics Technology II,Golubev,05/13/2025,3:00:00 PM,5:00:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,ETEC 325 M01,Applied Statistics,Meyers,05/15/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,ETEC 325 W01,Applied Statistics,Duke,05/13/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,ETEC 410 M01,Control Systems Technology,Amara,05/12/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,ETEC 410 W01,Control Systems Technology,Liu,05/15/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 228",Long Island
Spring 2025,ETEC 422 M01,Wireless Communications Tech,Ahmed,05/15/2025,12:45:00 PM,2:45:00 PM,Zoom,New York City
Spring 2025,ETEC 422 W01,Wireless Communications Tech,Ahmed,05/15/2025,12:45:00 PM,2:45:00 PM,Zoom,Long Island
Spring 2025,EXSC 110 W01,Found of Physical Activivity,Schmidt,05/15/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,EXSC 160 W01,Resistance & Flexibility Train,Kelly,05/13/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,EXSC 200 W01,Motion Analysis,Natale,05/14/2025,5:30:00 PM,6:50:00 PM,"Harry J. Schure Hall, Rm. 236",Long Island
Spring 2025,EXSC 230 W01,Survey of Athletic Injuries,Fitzpatrick,05/12/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,EXSC 240 W01,Functional Anatomy,Streiber,05/13/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 105",Long Island
Spring 2025,EXSC 300 W01,Exercise Physiology,Rothstein,05/15/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,EXSC 320 W01,Biomechanics,Rothstein,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 216A",Long Island
Spring 2025,EXSC 400 W01,Contemp Issues in Exer Science,Rossi,05/14/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 105",Long Island
Spring 2025,EXSC 410 W01,Senior Practicum,Rothstein,05/14/2025,3:00:00 PM,5:00:00 PM,"Harry J. Schure Hall, Rm. 102",Long Island
